term,kind,module,definition,decision,external_term,parent_or_equivalent,domain,range,shacl_constraint,example,status,verify_note
hasPeptideIdentification,property,proteomics,search → peptide,reuse,prov:wasGeneratedBy (inverse),,,,,,drop,
hasPTMObservation,property,proteomics,peptide → PTM,new,,,PeptideIdentification,PTMObservation,,,draft,
supports,property,core,evidence → hypothesis,new,crminf:J1_used_as_premise (weaker),,Evidence,MaterialHypothesis,,PEP001 → H1,draft,"Non-entailing; defeasible (§29J)"
contradicts,property,core,evidence → hypothesis,new,,,Evidence,MaterialHypothesis,,,draft,
compatibleWith,property,core,evidence → hypothesis,new,,,Evidence,MaterialHypothesis,,PEP001 → rabbit & sturgeon,draft,
derivedFrom,property,core,interpretation → source,reuse,prov:wasDerivedFrom,,,,,,drop,
hasEvidence,property,core,hypothesis → evidence,reuse,inverse of supports/compatibleWith,,,,,,drop,"Keep only one direction"
hasProposition,property,core,hypothesis → proposition,reuse,crminf:J4_that,,crminf:I2,crminf:I4,,,drop,
hasCompetingHypothesis,property,core,hypothesis ↔ alternative,new,,owl:SymmetricProperty,MaterialHypothesis,MaterialHypothesis,,H1 ↔ H2,draft,
hasConfidenceAssessment,property,core,hypothesis → confidence,reuse,crminf:J5_holds_to_be,,crminf:I2,crminf:I6,,,drop,
assertedBy,property,core,interpretation → agent,reuse,crm:P14_carried_out_by (on I5) / prov:wasAttributedTo,,,,,,drop,
assertedAt,property,core,interpretation → time,reuse,crm:P4_has_time-span / prov:generatedAtTime,,,,,,drop,
usesMethod,property,core,interpretation → method,reuse,crm:P33_used_specific_technique,,,,,,drop,
